breed,normalized_breed,filename,source,source_url,direct_image_url,author,license,license_url,width,height,commercial_use,modification,notes
Labrador Retriever,Labrador Retriever,labrador-retriever.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pixella15815_(23697080864).jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Pixella15815_%2823697080864%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,www.Pixel.la Free Stock Photos,CC0,https://creativecommons.org/publicdomain/zero/1.0/,1200,900,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Golden Retriever,Golden Retriever,golden-retriever.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Caleb_Fisher_2015_(Unsplash).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Caleb_Fisher_2015_%28Unsplash%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Caleb Fisher cfish709,CC0,https://creativecommons.org/publicdomain/zero/1.0/,1200,800,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy; Background includes a US flag (no people)
German Shepherd,German Shepherd Dog,german-shepherd.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Pastor_Alem%C3%A1n_hembra,_diez_a%C3%B1os_de_edad.jpg",https://upload.wikimedia.org/wikipedia/commons/1/16/Pastor_Alem%C3%A1n_hembra%2C_diez_a%C3%B1os_de_edad.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,MDNAciccone,CC0,https://creativecommons.org/publicdomain/zero/1.0/,1067,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Shih Tzu,Shih Tzu,shih-tzu.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Shih_Tzu_Reference_-30.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Shih_Tzu_Reference_-30.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,claralieu,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,1062,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Pomeranian,Pomeranian,pomeranian.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dogs_diningrm_photoshoot_048.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Dogs_diningrm_photoshoot_048.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Picchu1,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1200,799,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,No attribution legally required; credit kept as courtesy
Beagle,Beagle,beagle.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Beagle_in_Viroinval_(DSC04556).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Beagle_in_Viroinval_%28DSC04556%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Trougnouf (Benoit Brummer),CC BY 4.0,https://creativecommons.org/licenses/by/4.0,1200,773,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Rottweiler,Rottweiler,rottweiler.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rottweiler_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Rottweiler_portrait.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Pedro Simões,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,1200,797,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
French Bulldog,French Bulldog,french-bulldog.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Panting_Frenchie.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Panting_Frenchie.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Artur Malinowski,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,1024,1024,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Dachshund,Dachshund,dachshund.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:-2024-09-22-_Cadu_e_Amora_-_001_(54013235165).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/-2024-09-22-_Cadu_e_Amora_-_001_%2854013235165%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Romerito Pontes from São Carlos,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,800,1200,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
Cocker Spaniel,English Cocker Spaniel / Cocker Spaniel,cocker-spaniel.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:18_septembre_2020_-_Bill_au_jardin_(2).JPG,https://upload.wikimedia.org/wikipedia/commons/9/99/18_septembre_2020_-_Bill_au_jardin_%282%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jean-Pol GRANDMONT,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,1200,800,yes,Resized to max 1200px on the longest side and re-encoded as JPEG (quality 84); metadata stripped,"Attribution required (author, title, source, license)"
